"META","","","ESTRUCTURAL","","","","","","","LOCACIONAL","","","","","SEGURIDAD","","TCO","","","","","TARGET","",""
"SHV-0904","Metrocuadrado","Arriendo","Casa","32","2","1","No","No","35","San Cristóbal","La Gloria","1","4.535819","-74.098596","210","4.6","24000","91","57000","0","81000","49500000","210000","210000"
"SHV-0905","FincaRaíz","Venta","Apartamento","29","1","1","No","No","12","Usme","Comuneros","1","4.477671","-74.125321","140","6.89","34000","82","37000","19000","90000","57300000","240000","57300000"
"SHV-0906","Metrocuadrado","Venta","Apartamento","67","4","3","Sí","No","60","Tunjuelito","Venecia","3","4.591964","-74.147967","190","5.25","60000","177","99000","226000","385000","231800000","1070000","231800000"
"SHV-0907","Metrocuadrado","Venta","Apartamento","44","3","3","No","No","16","Bosa","Apogeo","1","4.613127","-74.219242","160","6.24","37000","112","34000","54000","125000","75400000","300000","75400000"
"SHV-0908","Metrocuadrado","Venta","Apartamento","88","2","1","Sí","No","7","Kennedy","Américas","3","4.633895","-74.182978","230","3.95","83000","194","99000","226000","408000","264700000","1290000","264700000"
"SHV-0909","FincaRaíz","Venta","Apartamento","59","2","2","Sí","Sí","22","Fontibón","Modelia","3","4.652126","-74.132525","200","4.93","69000","157","71000","195000","335000","170800000","920000","170800000"
"SHV-0910","Habi","Arriendo","Apartamento","49","3","3","No","Sí","17","Engativá","Garcés Navas","3","4.725482","-74.140736","175","5.75","53000","120","91000","110000","254000","171300000","960000","960000"
"SHV-0911","UAECD-OTC","Venta","Apartamento","105","2","2","Sí","Sí","14","Suba","Casa Blanca Suba","4","4.736226","-74.086461","195","5.09","102000","200","154000","486000","742000","549900000","2860000","549900000"
"SHV-0912","UAECD-OTC","Venta","Apartamento","78","2","2","No","No","35","Barrios Unidos","Alcázares","3","4.67101","-74.057641","265","2.8","86000","170","128000","199000","413000","228600000","1300000","228600000"
"SHV-0913","Properati","Arriendo","Apartamento","82","2","1","Sí","No","26","Teusaquillo","Teusaquillo","4","4.62351","-74.114461","300","1.65","67000","171","106000","435000","608000","546400000","2630000","2630000"
"SHV-0914","Metrocuadrado","Venta","Apartamento","66","2","1","No","No","60","Los Mártires","La Sabana","2","4.591339","-74.098341","280","2.31","40000","168","89000","36000","165000","134300000","770000","134300000"
"SHV-0915","Properati","Venta","Apartamento","62","2","2","No","No","59","Antonio Nariño","Restrepo","3","4.565192","-74.120479","220","4.27","66000","119","81000","129000","276000","190500000","950000","190500000"
"SHV-0916","Habi","Arriendo","Apartamento","105","2","1","Sí","No","42","Puente Aranda","Puente Aranda","4","4.603023","-74.124972","245","3.45","106000","235","126000","559000","791000","681100000","3030000","3030000"
"SHV-0917","UAECD-OTC","Arriendo","Casa","73","1","1","Sí","No","20","La Candelaria","La Candelaria","3","4.584591","-74.067085","310","1.33","69000","137","72000","64000","205000","301400000","1770000","1770000"
"SHV-0918","Habi","Venta","Apartamento","42","3","2","No","Sí","37","Rafael Uribe Uribe","Quiroga","2","4.556852","-74.106584","200","4.93","43000","121","78000","45000","166000","91700000","420000","91700000"
"SHV-0919","FincaRaíz","Venta","Apartamento","70","2","1","No","No","17","Ciudad Bolívar","El Mochuelo","2","4.535442","-74.152508","170","5.91","61000","113","71000","100000","232000","142800000","580000","142800000"
"SHV-0920","FincaRaíz","Venta","Casa","67","3","3","No","No","31","Sumapaz","Sumapaz","2","4.280486","-74.38484","45","10","36000","112","57000","0","93000","161700000","730000","161700000"
"SHV-0921","UAECD-OTC","Venta","Casa","88","3","2","Sí","No","34","Usaquén","Santa Bárbara","4","4.688924","-74.051157","180","5.58","72000","221","113000","0","185000","600800000","2840000","600800000"
"SHV-0922","UAECD-OTC","Venta","Apartamento","76","3","2","No","Sí","37","Chapinero","Chico Lago","4","4.647801","-74.074146","320","1","90000","180","135000","369000","594000","391200000","1840000","391200000"
"SHV-0923","FincaRaíz","Arriendo","Apartamento","55","3","3","No","No","60","Santa Fe","La Macarena","3","4.597355","-74.085552","290","1.98","47000","144","61000","122000","230000","222900000","1130000","1130000"
"SHV-0924","Properati","Arriendo","Apartamento","62","2","2","No","No","53","San Cristóbal","Los Libertadores","1","4.543882","-74.09325","210","4.6","32000","145","73000","74000","179000","98100000","570000","570000"
"SHV-0925","FincaRaíz","Arriendo","Apartamento","41","1","1","No","No","18","Usme","Gran Yomasa","1","4.495681","-74.145047","140","6.89","41000","91","59000","59000","159000","66700000","310000","310000"
"SHV-0926","Metrocuadrado","Venta","Casa","73","3","2","No","No","60","Tunjuelito","Venecia","3","4.586319","-74.15413","190","5.25","37000","150","64000","96000","197000","303400000","1530000","303400000"
"SHV-0927","FincaRaíz","Arriendo","Casa","41","2","2","No","No","12","Bosa","El Porvenir","1","4.609777","-74.185372","160","6.24","28000","92","54000","0","82000","73700000","340000","340000"
"SHV-0928","FincaRaíz","Venta","Apartamento","64","1","1","No","No","33","Kennedy","Américas","2","4.60999","-74.14421","230","3.95","47000","149","55000","53000","155000","168800000","950000","168800000"
"SHV-0929","Habi","Arriendo","Apartamento","72","2","2","No","No","34","Fontibón","Fontibón","3","4.671386","-74.130488","200","4.93","48000","197","110000","228000","386000","251100000","1080000","1080000"
"SHV-0930","Properati","Arriendo","Apartamento","80","1","1","Sí","Sí","40","Engativá","Engativá","4","4.677655","-74.140424","175","5.75","83000","187","168000","339000","590000","474800000","2000000","2000000"
"SHV-0931","FincaRaíz","Arriendo","Apartamento","40","3","3","No","No","26","Suba","Suba","2","4.755182","-74.089048","195","5.09","23000","105","61000","27000","111000","100400000","500000","500000"
"SHV-0932","Metrocuadrado","Arriendo","Apartamento","48","2","2","Sí","No","21","Barrios Unidos","Alcázares","3","4.682638","-74.075983","265","2.8","60000","131","102000","134000","296000","212200000","1130000","1130000"
"SHV-0933","Habi","Venta","Apartamento","157","3","2","Sí","Sí","42","Teusaquillo","Nicolás de Federmán","5","4.614313","-74.090039","300","1.65","239000","287","302000","1028000","1569000","1555700000","8700000","1555700000"
"SHV-0934","UAECD-OTC","Venta","Apartamento","64","2","2","No","Sí","45","Los Mártires","Ricaurte","2","4.599478","-74.11355","280","2.31","35000","158","75000","80000","190000","168100000","870000","168100000"
"SHV-0935","UAECD-OTC","Arriendo","Casa","50","4","4","Sí","Sí","27","Antonio Nariño","Restrepo","3","4.594326","-74.12515","220","4.27","59000","110","105000","0","164000","185700000","1030000","1030000"
"SHV-0936","Properati","Arriendo","Apartamento","56","4","3","No","Sí","46","Puente Aranda","Puente Aranda","3","4.626279","-74.123067","245","3.45","46000","113","99000","112000","257000","185500000","890000","890000"
"SHV-0937","FincaRaíz","Venta","Apartamento","58","2","2","No","No","26","La Candelaria","La Candelaria","3","4.578743","-74.096723","310","1.33","60000","161","66000","160000","286000","187700000","760000","187700000"
"SHV-0938","Habi","Arriendo","Apartamento","68","3","3","No","Sí","38","Rafael Uribe Uribe","Quiroga","3","4.568261","-74.106584","200","4.93","45000","135","121000","167000","333000","262900000","1110000","1110000"
"SHV-0939","Habi","Venta","Casa","53","2","2","No","No","12","Ciudad Bolívar","Arborizadora","2","4.513329","-74.146567","170","5.91","51000","108","52000","46000","149000","110600000","450000","110600000"
"SHV-0940","Metrocuadrado","Arriendo","Apartamento","50","1","1","No","No","14","Sumapaz","Sumapaz","1","4.282539","-74.371581","45","10","26000","120","62000","53000","141000","81000000","380000","380000"
"SHV-0941","Metrocuadrado","Arriendo","Apartamento","137","4","3","Sí","Sí","23","Usaquén","Country Club","5","4.727656","-74.041431","180","5.58","117000","262","228000","1003000","1348000","1053000000","5260000","5260000"
"SHV-0942","FincaRaíz","Venta","Apartamento","82","3","3","Sí","Sí","31","Chapinero","El Refugio","3","4.650311","-74.051937","320","1","53000","150","89000","186000","328000","263900000","1240000","263900000"
"SHV-0943","Metrocuadrado","Venta","Apartamento","81","2","1","No","No","34","Santa Fe","Sagrado Corazón","2","4.618741","-74.066832","290","1.98","64000","122","103000","36000","203000","216900000","1110000","216900000"
"SHV-0944","Properati","Arriendo","Apartamento","45","2","1","No","No","46","San Cristóbal","Los Libertadores","1","4.544435","-74.106672","210","4.6","29000","130","40000","51000","120000","84500000","420000","420000"
"SHV-0945","Metrocuadrado","Arriendo","Apartamento","30","3","3","No","No","6","Usme","Alfonso López","2","4.490463","-74.111848","140","6.89","39000","91","66000","43000","148000","63300000","340000","340000"
"SHV-0946","UAECD-OTC","Arriendo","Apartamento","91","3","3","No","No","25","Tunjuelito","Tunjuelito","3","4.568961","-74.150708","190","5.25","92000","177","95000","266000","453000","344100000","1840000","1840000"
"SHV-0947","Habi","Venta","Apartamento","43","2","2","No","No","14","Bosa","Apogeo","1","4.607007","-74.210249","160","6.24","23000","96","54000","60000","137000","81600000","380000","81600000"
"SHV-0948","Metrocuadrado","Venta","Casa","66","2","2","Sí","No","49","Kennedy","Timiza","2","4.64778","-74.166567","230","3.95","33000","154","62000","28000","123000","148100000","690000","148100000"
"SHV-0949","Metrocuadrado","Venta","Casa","91","1","1","No","Sí","29","Fontibón","Granjas de Techo","3","4.669529","-74.128773","200","4.93","63000","164","120000","0","183000","417700000","2160000","417700000"
"SHV-0950","Habi","Venta","Apartamento","79","3","3","Sí","No","17","Engativá","Garcés Navas","4","4.697812","-74.135561","175","5.75","73000","156","159000","397000","629000","436200000","2270000","436200000"
"SHV-0951","Metrocuadrado","Arriendo","Apartamento","50","3","3","No","No","21","Suba","Tibabuyes","2","4.765257","-74.076988","195","5.09","42000","146","52000","60000","154000","130000000","600000","600000"
"SHV-0952","UAECD-OTC","Venta","Apartamento","70","2","2","No","No","28","Barrios Unidos","Alcázares","3","4.660412","-74.077777","265","2.8","48000","169","65000","202000","315000","209100000","970000","209100000"
"SHV-0953","UAECD-OTC","Arriendo","Apartamento","136","3","2","Sí","Sí","28","Teusaquillo","Teusaquillo","5","4.641636","-74.101207","300","1.65","195000","287","325000","971000","1491000","1073900000","5790000","5790000"
"SHV-0954","FincaRaíz","Arriendo","Apartamento","47","4","4","No","No","40","Los Mártires","Ricaurte","2","4.582064","-74.090978","280","2.31","37000","137","50000","68000","155000","131200000","690000","690000"
"SHV-0955","UAECD-OTC","Venta","Apartamento","85","1","1","Sí","No","53","Antonio Nariño","Restrepo","3","4.583196","-74.077969","220","4.27","65000","176","125000","218000","408000","258500000","1100000","258500000"
"SHV-0956","Habi","Arriendo","Apartamento","51","3","3","No","No","22","Puente Aranda","Ciudad Montes","3","4.625337","-74.119711","245","3.45","46000","113","106000","116000","268000","233400000","1140000","1140000"
"SHV-0957","Habi","Venta","Apartamento","50","1","1","No","No","46","La Candelaria","La Candelaria","3","4.62008","-74.054888","310","1.33","59000","153","93000","110000","262000","196500000","1140000","196500000"
"SHV-0958","FincaRaíz","Venta","Apartamento","59","2","2","No","No","51","Rafael Uribe Uribe","Quiroga","3","4.53564","-74.091539","200","4.93","75000","143","102000","139000","316000","188400000","770000","188400000"
"SHV-0959","Properati","Arriendo","Apartamento","58","2","2","No","No","13","Ciudad Bolívar","Tesoro","2","4.531073","-74.17397","170","5.91","61000","130","64000","61000","186000","141500000","810000","810000"
"SHV-0960","UAECD-OTC","Arriendo","Casa","45","1","1","No","No","20","Sumapaz","Sumapaz","1","4.251839","-74.341017","45","10","41000","102","31000","0","72000","83800000","360000","360000"
"SHV-0961","Metrocuadrado","Venta","Casa","84","3","3","Sí","No","16","Usaquén","La Uribe","4","4.710414","-74.051995","180","5.58","62000","211","99000","0","161000","583000000","2920000","583000000"
"SHV-0962","FincaRaíz","Venta","Apartamento","68","3","2","Sí","Sí","38","Chapinero","Pardo Rubio","5","4.655875","-74.074494","320","1","105000","249","145000","437000","687000","603700000","2930000","603700000"
"SHV-0963","UAECD-OTC","Venta","Casa","55","2","1","No","No","24","Santa Fe","Lourdes","2","4.576973","-74.063067","290","1.98","48000","145","83000","0","131000","118600000","480000","118600000"
"SHV-0964","Metrocuadrado","Arriendo","Apartamento","53","1","1","No","No","32","San Cristóbal","La Gloria","2","4.582515","-74.098078","210","4.6","57000","102","71000","47000","175000","130400000","760000","760000"
"SHV-0965","UAECD-OTC","Venta","Casa","70","1","1","Sí","No","10","Usme","Gran Yomasa","2","4.464246","-74.103194","140","6.89","34000","148","54000","0","88000","143900000","710000","143900000"
"SHV-0966","Habi","Venta","Apartamento","63","2","1","No","No","60","Tunjuelito","Venecia","3","4.548063","-74.151087","190","5.25","61000","160","82000","129000","272000","281100000","1660000","281100000"
"SHV-0967","Metrocuadrado","Arriendo","Casa","55","2","2","No","No","14","Bosa","Apogeo","1","4.616558","-74.209762","160","6.24","30000","146","41000","0","71000","94600000","430000","430000"
"SHV-0968","Properati","Venta","Casa","41","3","3","No","No","43","Kennedy","Carvajal","2","4.632953","-74.144091","230","3.95","35000","130","57000","0","92000","117500000","670000","117500000"
"SHV-0969","Metrocuadrado","Venta","Apartamento","95","2","2","No","Sí","35","Fontibón","Aeropuerto","4","4.687894","-74.129671","200","4.93","104000","251","125000","445000","674000","673000000","3930000","673000000"
"SHV-0970","Metrocuadrado","Venta","Apartamento","93","2","1","Sí","Sí","33","Engativá","Santa Cecilia","4","4.696139","-74.094645","175","5.75","109000","229","114000","384000","607000","526600000","2690000","526600000"
"SHV-0971","Habi","Venta","Apartamento","142","3","3","Sí","Sí","21","Suba","Tibabuyes","5","4.723181","-74.083054","195","5.09","119000","346","300000","1053000","1472000","1067200000","4700000","1067200000"
"SHV-0972","Habi","Venta","Apartamento","63","2","2","Sí","Sí","16","Barrios Unidos","Alcázares","4","4.649517","-74.102357","265","2.8","78000","146","149000","307000","534000","416500000","2240000","416500000"
"SHV-0973","UAECD-OTC","Venta","Apartamento","99","4","4","No","Sí","9","Teusaquillo","Nicolás de Federmán","4","4.644172","-74.092907","300","1.65","114000","221","125000","457000","696000","530300000","2700000","530300000"
"SHV-0974","Metrocuadrado","Venta","Apartamento","50","3","3","No","No","20","Los Mártires","Ricaurte","3","4.613419","-74.101093","280","2.31","54000","105","56000","123000","233000","220600000","1300000","220600000"
"SHV-0975","Properati","Arriendo","Apartamento","77","2","2","No","No","34","Antonio Nariño","Antonio Nariño","3","4.572847","-74.117048","220","4.27","56000","178","117000","258000","431000","295300000","1440000","1440000"
"SHV-0976","Metrocuadrado","Venta","Apartamento","96","4","3","Sí","Sí","53","Puente Aranda","Ciudad Montes","4","4.62161","-74.116776","245","3.45","110000","188","120000","501000","731000","563200000","2560000","563200000"
"SHV-0977","Metrocuadrado","Arriendo","Casa","57","1","1","No","No","44","La Candelaria","La Candelaria","3","4.59093","-74.090688","310","1.33","57000","131","90000","60000","207000","223600000","960000","960000"
"SHV-0978","UAECD-OTC","Venta","Apartamento","67","2","1","No","No","12","Rafael Uribe Uribe","Quiroga","2","4.538241","-74.11902","200","4.93","57000","134","54000","28000","139000","170600000","920000","170600000"
"SHV-0979","Properati","Arriendo","Apartamento","65","2","1","No","No","27","Ciudad Bolívar","El Mochuelo","2","4.535915","-74.154303","170","5.91","41000","166","69000","68000","178000","147300000","880000","880000"
"SHV-0980","FincaRaíz","Arriendo","Apartamento","39","2","1","No","No","19","Sumapaz","Sumapaz","1","4.24998","-74.355974","45","10","33000","86","62000","34000","129000","71400000","290000","290000"
"SHV-0981","Habi","Arriendo","Apartamento","171","4","4","Sí","Sí","15","Usaquén","Santa Bárbara","6","4.695166","-74.025603","180","5.58","274000","399","552000","1953000","2779000","2042100000","11190000","11190000"
"SHV-0982","Metrocuadrado","Venta","Apartamento","66","1","1","No","Sí","26","Chapinero","Chapinero","3","4.661799","-74.04935","320","1","50000","156","115000","169000","334000","221100000","1290000","221100000"
"SHV-0983","FincaRaíz","Venta","Apartamento","72","2","2","Sí","No","31","Santa Fe","Sagrado Corazón","3","4.584241","-74.093043","290","1.98","37000","148","70000","206000","313000","216200000","900000","216200000"
"SHV-0984","FincaRaíz","Venta","Casa","50","3","3","No","No","17","San Cristóbal","20 de Julio","1","4.564969","-74.097277","210","4.6","30000","92","62000","0","92000","91700000","390000","91700000"
"SHV-0985","FincaRaíz","Arriendo","Apartamento","54","2","2","No","No","16","Usme","Alfonso López","1","4.501519","-74.113377","140","6.89","46000","123","42000","79000","167000","97600000","530000","530000"
"SHV-0986","UAECD-OTC","Venta","Casa","43","3","2","No","No","26","Tunjuelito","Venecia","3","4.550139","-74.155158","190","5.25","60000","154","64000","0","124000","167900000","890000","167900000"
"SHV-0987","FincaRaíz","Arriendo","Apartamento","44","2","1","No","No","12","Bosa","Bosa Central","2","4.609933","-74.215621","160","6.24","42000","100","56000","60000","158000","91100000","380000","380000"
"SHV-0988","FincaRaíz","Venta","Apartamento","45","2","1","Sí","No","52","Kennedy","Castilla","2","4.6489","-74.142476","230","3.95","39000","96","67000","12000","118000","98400000","560000","98400000"
"SHV-0989","FincaRaíz","Venta","Apartamento","87","3","2","No","Sí","8","Fontibón","Fontibón","3","4.697923","-74.166444","200","4.93","63000","158","94000","282000","439000","293100000","1480000","293100000"
"SHV-0990","Properati","Arriendo","Apartamento","67","3","2","Sí","No","15","Engativá","Minuto de Dios","3","4.691163","-74.098444","175","5.75","58000","187","103000","158000","319000","260500000","1510000","1510000"
"SHV-0991","Metrocuadrado","Venta","Casa","72","3","3","No","Sí","23","Suba","Suba","4","4.723485","-74.115682","195","5.09","62000","141","134000","0","196000","387100000","2230000","387100000"
"SHV-0992","Properati","Arriendo","Apartamento","92","3","2","No","Sí","12","Barrios Unidos","Los Andes","3","4.683817","-74.099685","265","2.8","46000","219","128000","225000","399000","397300000","2230000","2230000"
"SHV-0993","Habi","Venta","Apartamento","103","3","3","Sí","Sí","44","Teusaquillo","Galerías","4","4.648877","-74.096841","300","1.65","103000","183","155000","547000","805000","592900000","2980000","592900000"
"SHV-0994","Properati","Venta","Apartamento","68","3","2","Sí","No","60","Los Mártires","La Sabana","3","4.599945","-74.072863","280","2.31","74000","153","120000","167000","361000","201700000","910000","201700000"
"SHV-0995","UAECD-OTC","Arriendo","Casa","58","3","3","No","No","60","Antonio Nariño","Restrepo","2","4.563777","-74.103142","220","4.27","61000","132","72000","55000","188000","164200000","820000","820000"
"SHV-0996","FincaRaíz","Venta","Apartamento","59","2","2","No","Sí","54","Puente Aranda","Ciudad Montes","3","4.615597","-74.12744","245","3.45","41000","135","74000","122000","237000","225400000","950000","225400000"
"SHV-0997","Properati","Arriendo","Apartamento","43","2","1","No","No","60","La Candelaria","La Candelaria","2","4.598797","-74.084597","310","1.33","27000","133","75000","42000","144000","100400000","530000","530000"
"SHV-0998","Properati","Arriendo","Apartamento","51","1","1","No","No","46","Rafael Uribe Uribe","Marco Fidel Suárez","2","4.576664","-74.10282","200","4.93","56000","113","44000","32000","132000","130800000","560000","560000"
"SHV-0999","Metrocuadrado","Arriendo","Casa","39","2","2","No","No","29","Ciudad Bolívar","El Mochuelo","1","4.528516","-74.141231","170","5.91","32000","79","32000","11000","75000","62100000","310000","310000"
"SHV-1000","Habi","Venta","Apartamento","52","3","2","No","No","26","Sumapaz","Sumapaz","1","4.247883","-74.387777","45","10","33000","99","72000","57000","162000","90200000","370000","90200000"
"SHV-1001","Metrocuadrado","Arriendo","Apartamento","69","4","4","Sí","Sí","14","Usaquén","La Uribe","6","4.695868","-74.04416","180","5.58","131000","262","324000","699000","1154000","1037600000","4770000","4770000"
"SHV-1002","Habi","Arriendo","Apartamento","107","4","4","Sí","Sí","50","Chapinero","Chico Lago","6","4.641344","-74.044409","320","1","202000","263","330000","1164000","1696000","1695400000","7570000","7570000"
"SHV-1003","Properati","Venta","Casa","44","2","2","No","No","21","Santa Fe","La Macarena","2","4.59114","-74.079102","290","1.98","35000","129","71000","0","106000","117000000","610000","117000000"
"SHV-1004","Metrocuadrado","Venta","Apartamento","34","3","2","No","No","55","San Cristóbal","Los Libertadores","1","4.570588","-74.102222","210","4.6","18000","99","29000","41000","88000","49500000","280000","49500000"
"SHV-1005","FincaRaíz","Venta","Casa","47","2","1","No","No","18","Usme","La Flora","1","4.474135","-74.146525","140","6.89","43000","119","40000","7000","90000","80600000","330000","80600000"
"SHV-1006","FincaRaíz","Venta","Apartamento","58","2","1","No","No","30","Tunjuelito","Venecia","2","4.570594","-74.140428","190","5.25","42000","112","47000","3000","92000","140400000","800000","140400000"
"SHV-1007","FincaRaíz","Venta","Apartamento","39","1","1","No","No","6","Bosa","Apogeo","1","4.609223","-74.184508","160","6.24","30000","101","34000","12000","76000","63600000","360000","63600000"
"SHV-1008","Metrocuadrado","Arriendo","Apartamento","57","3","3","No","No","48","Kennedy","Castilla","3","4.637079","-74.146018","230","3.95","50000","137","84000","141000","275000","185600000","870000","870000"
"SHV-1009","FincaRaíz","Arriendo","Apartamento","52","2","1","Sí","No","23","Fontibón","Modelia","3","4.655933","-74.159227","200","4.93","65000","169","55000","172000","292000","222500000","1180000","1180000"
"SHV-1010","UAECD-OTC","Arriendo","Apartamento","99","3","3","Sí","No","29","Engativá","Engativá","4","4.697123","-74.122909","175","5.75","81000","172","124000","437000","642000","641900000","3080000","3080000"
"SHV-1011","Metrocuadrado","Arriendo","Apartamento","52","3","2","No","No","27","Suba","Suba","2","4.72741","-74.109676","195","5.09","42000","137","57000","32000","131000","111000000","480000","480000"
"SHV-1012","Habi","Venta","Apartamento","64","2","1","Sí","No","47","Barrios Unidos","Los Andes","3","4.648235","-74.075193","265","2.8","55000","162","75000","216000","346000","216600000","1100000","216600000"
"SHV-1013","Properati","Venta","Apartamento","131","2","1","Sí","Sí","60","Teusaquillo","Nicolás de Federmán","5","4.634259","-74.111376","300","1.65","151000","226","201000","955000","1307000","1011800000","4220000","1011800000"
"SHV-1014","Metrocuadrado","Arriendo","Casa","69","2","2","No","No","60","Los Mártires","La Sabana","2","4.603466","-74.102192","280","2.31","38000","146","95000","40000","173000","192600000","1110000","1110000"
"SHV-1015","Properati","Arriendo","Apartamento","56","2","2","Sí","No","50","Antonio Nariño","Restrepo","2","4.590215","-74.102827","220","4.27","59000","111","77000","48000","184000","127400000","750000","750000"
"SHV-1016","Properati","Venta","Apartamento","73","3","3","Sí","No","39","Puente Aranda","Muzú","4","4.635051","-74.127251","245","3.45","76000","155","138000","309000","523000","526200000","2970000","526200000"
"SHV-1017","FincaRaíz","Arriendo","Casa","61","3","3","No","No","60","La Candelaria","La Candelaria","2","4.577025","-74.099727","310","1.33","60000","147","56000","11000","127000","158200000","810000","810000"
"SHV-1018","Metrocuadrado","Venta","Apartamento","44","2","2","Sí","No","46","Rafael Uribe Uribe","Marruecos","2","4.561257","-74.106769","200","4.93","53000","125","60000","30000","143000","113300000","580000","113300000"
"SHV-1019","Habi","Arriendo","Apartamento","42","2","2","No","No","16","Ciudad Bolívar","Arborizadora","1","4.506529","-74.156574","170","5.91","24000","99","29000","12000","65000","63000000","380000","380000"
"SHV-1020","UAECD-OTC","Arriendo","Casa","39","1","1","No","No","41","Sumapaz","Sumapaz","1","4.258465","-74.340126","45","10","38000","104","39000","19000","96000","59000000","270000","270000"
"SHV-1021","Metrocuadrado","Venta","Apartamento","201","4","3","Sí","Sí","27","Usaquén","Toberín","6","4.709944","-74.023599","180","5.58","307000","345","611000","2059000","2977000","2845500000","11810000","2845500000"
"SHV-1022","UAECD-OTC","Venta","Apartamento","195","3","3","Sí","No","37","Chapinero","El Refugio","6","4.652551","-74.075588","320","1","266000","512","390000","2109000","2765000","2157200000","11050000","2157200000"
"SHV-1023","FincaRaíz","Arriendo","Apartamento","62","3","3","Sí","No","60","Santa Fe","La Macarena","3","4.57935","-74.061873","290","1.98","75000","154","81000","134000","290000","242100000","1130000","1130000"
"SHV-1024","UAECD-OTC","Venta","Casa","43","2","2","No","No","60","San Cristóbal","20 de Julio","1","4.538754","-74.061456","210","4.6","19000","113","66000","0","85000","76200000","350000","76200000"
"SHV-1025","FincaRaíz","Arriendo","Casa","53","3","2","No","No","15","Usme","Comuneros","2","4.498872","-74.148825","140","6.89","59000","126","76000","0","135000","140200000","560000","560000"
"SHV-1026","UAECD-OTC","Venta","Casa","50","3","2","No","No","28","Tunjuelito","Tunjuelito","2","4.564565","-74.117991","190","5.25","46000","107","83000","0","129000","139500000","720000","139500000"
"SHV-1027","UAECD-OTC","Arriendo","Apartamento","61","3","2","No","No","17","Bosa","El Porvenir","1","4.618715","-74.200336","160","6.24","30000","143","50000","8000","88000","98500000","450000","450000"
"SHV-1028","UAECD-OTC","Venta","Casa","35","3","2","No","No","36","Kennedy","Carvajal","3","4.630995","-74.166826","230","3.95","33000","92","72000","28000","133000","130900000","570000","130900000"
"SHV-1029","FincaRaíz","Venta","Apartamento","100","3","2","Sí","Sí","6","Fontibón","Aeropuerto","4","4.685669","-74.160067","200","4.93","72000","239","114000","446000","632000","536900000","2190000","536900000"
"SHV-1030","UAECD-OTC","Arriendo","Casa","93","3","2","Sí","No","8","Engativá","Santa Cecilia","4","4.693702","-74.102048","175","5.75","111000","184","103000","113000","327000","591600000","2800000","2800000"
"SHV-1031","FincaRaíz","Venta","Apartamento","164","3","2","Sí","Sí","14","Suba","Suba","5","4.74334","-74.079982","195","5.09","186000","295","327000","1114000","1627000","1235500000","7110000","1235500000"
"SHV-1032","Habi","Venta","Apartamento","99","3","3","Sí","Sí","17","Barrios Unidos","12 de Octubre","4","4.669131","-74.099747","265","2.8","101000","234","112000","438000","651000","637600000","2980000","637600000"
"SHV-1033","Habi","Venta","Apartamento","83","2","2","Sí","Sí","38","Teusaquillo","Nicolás de Federmán","5","4.620567","-74.070624","300","1.65","100000","223","201000","499000","800000","709800000","3800000","709800000"
"SHV-1034","Metrocuadrado","Venta","Casa","41","3","2","No","No","57","Los Mártires","La Sabana","2","4.616737","-74.110602","280","2.31","35000","93","63000","40000","138000","86900000","480000","86900000"
"SHV-1035","Properati","Arriendo","Casa","53","1","1","No","No","55","Antonio Nariño","Restrepo","2","4.600321","-74.112079","220","4.27","54000","150","45000","0","99000","126900000","590000","590000"
"SHV-1036","Metrocuadrado","Arriendo","Apartamento","128","3","3","Sí","No","33","Puente Aranda","Ciudad Montes","4","4.598267","-74.110211","245","3.45","87000","287","154000","639000","880000","925700000","5220000","5220000"
"SHV-1037","FincaRaíz","Arriendo","Apartamento","69","2","1","No","No","47","La Candelaria","La Candelaria","3","4.593143","-74.079315","310","1.33","69000","185","91000","177000","337000","244700000","1320000","1320000"
"SHV-1038","FincaRaíz","Arriendo","Casa","59","2","2","Sí","No","47","Rafael Uribe Uribe","Quiroga","3","4.562927","-74.110983","200","4.93","75000","120","78000","36000","189000","235900000","1210000","1210000"
"SHV-1039","Properati","Arriendo","Apartamento","53","3","3","No","No","20","Ciudad Bolívar","Arborizadora","1","4.546241","-74.146948","170","5.91","35000","133","54000","57000","146000","104300000","420000","420000"
"SHV-1040","UAECD-OTC","Venta","Apartamento","52","2","1","No","No","24","Sumapaz","Sumapaz","1","4.261719","-74.369461","45","10","29000","125","63000","20000","112000","94500000","380000","94500000"
"SHV-1041","Properati","Arriendo","Casa","130","4","3","Sí","Sí","20","Usaquén","Santa Bárbara","5","4.692936","-74.007436","180","5.58","149000","302","302000","454000","905000","1259900000","7540000","7540000"
"SHV-1042","FincaRaíz","Arriendo","Apartamento","106","3","2","Sí","No","24","Chapinero","Pardo Rubio","5","4.624718","-74.048475","320","1","159000","218","171000","637000","967000","798300000","4440000","4440000"
"SHV-1043","UAECD-OTC","Venta","Apartamento","57","2","1","No","No","31","Santa Fe","La Macarena","2","4.597258","-74.090874","290","1.98","26000","139","69000","46000","141000","130900000","770000","130900000"
"SHV-1044","Properati","Arriendo","Casa","51","3","3","No","No","53","San Cristóbal","Los Libertadores","2","4.580268","-74.107542","210","4.6","52000","139","50000","6000","108000","122700000","710000","710000"
"SHV-1045","Properati","Arriendo","Apartamento","58","1","1","No","No","16","Usme","La Flora","2","4.460717","-74.1372","140","6.89","44000","142","48000","47000","139000","123400000","500000","500000"
